word	valence	arousal	dominance	goodness	energy	structure	power	danger	structure
adherent	0.060980	-0.114966	0.054845	0.096238	-0.074847	-0.071273	0.015126	-0.120975	-0.071273
adhering	0.111980	0.061034	0.036845	0.105338	0.052468	0.061427	0.111585	-0.037385	0.061427
adhesion	0.020980	-0.054966	0.085845	0.067654	-0.002159	-0.079051	0.046312	-0.049365	-0.079051
adhesive	0.103980	-0.149966	-0.087155	0.070244	-0.187560	0.028015	-0.082955	-0.182295	0.028015
adieu	-0.250020	-0.028966	-0.158155	-0.287749	-0.069754	-0.026398	-0.252793	0.154146	-0.026398
adipose	-0.167020	-0.149966	-0.109155	-0.174405	-0.156260	-0.086406	-0.233816	0.012831	-0.086406
adjacency	-0.135020	-0.082966	-0.125155	-0.164475	-0.114760	-0.023571	-0.197449	0.035154	-0.023571
adjacent	0.144980	-0.223966	0.035845	0.175918	-0.188474	-0.077428	-0.008878	-0.257664	-0.077428
adjective	0.069980	-0.183966	0.068845	0.121055	-0.125620	-0.114217	-0.003228	-0.174426	-0.114217
adjoining	0.019980	-0.099966	-0.107155	-0.019400	-0.143751	0.028876	-0.115365	-0.087929	0.028876
adjourn	-0.115020	-0.043966	-0.025155	-0.104885	-0.031564	-0.061630	-0.096484	0.051846	-0.061630
adjournment	-0.062020	0.010034	-0.130155	-0.117721	-0.052386	0.065460	-0.120284	0.046199	0.065460
adjudicate	0.058980	0.020034	0.182845	0.135970	0.106241	-0.086817	0.171269	-0.021022	-0.086817
adjudication	0.050980	-0.037966	0.190845	0.141573	0.064002	-0.127761	0.145363	-0.054851	-0.127761
adjunct	-0.041020	-0.059966	-0.074155	-0.062172	-0.083131	-0.001219	-0.102745	-0.014820	-0.001219
adjust	0.146980	-0.172966	0.137845	0.219133	-0.091422	-0.118930	0.090305	-0.219595	-0.118930
adjuster	0.009980	0.040034	0.259845	0.127731	0.172299	-0.152379	0.212153	0.031514	-0.152379
adjustment	0.089980	0.020034	0.160845	0.152154	0.089370	-0.056842	0.170783	-0.044394	-0.056842
adjuvant	0.009980	0.000034	-0.044155	-0.012642	-0.025500	0.035202	-0.026971	-0.009092	0.035202
admin	0.187980	-0.079966	0.353845	0.344639	0.095860	-0.197414	0.311480	-0.175913	-0.197414
administer	0.134980	-0.074966	0.359845	0.301005	0.111691	-0.224162	0.291821	-0.133865	-0.224162
administration	0.124980	-0.095966	0.285845	0.259880	0.055845	-0.189420	0.223252	-0.144275	-0.189420
administrative	0.041980	-0.084966	0.078845	0.086902	-0.034054	-0.080538	0.037369	-0.085529	-0.080538
administrator	0.037980	-0.019966	0.401845	0.229233	0.195309	-0.269494	0.300197	-0.023988	-0.269494
admirable	0.428980	0.100034	0.369845	0.533609	0.214600	0.004893	0.529064	-0.225574	0.004893
admiral	0.343980	-0.009966	0.346845	0.465550	0.124935	-0.079855	0.417536	-0.240851	-0.079855
admiralty	0.093980	0.047034	0.232845	0.186237	0.150039	-0.089805	0.237784	-0.025596	-0.089805
admiration	0.468980	0.083034	0.225845	0.501373	0.116132	0.113934	0.436642	-0.272407	0.113934
admire	0.366980	0.192034	0.203845	0.386409	0.210404	0.139721	0.422011	-0.124454	0.139721
admired	0.416980	0.060034	0.314845	0.502741	0.153697	0.015237	0.464172	-0.246812	0.015237
admirer	0.295980	0.220034	0.149845	0.294911	0.215557	0.158226	0.360955	-0.056111	0.158226
admiring	0.366980	0.078034	0.128845	0.367328	0.075693	0.129249	0.313263	-0.206217	0.129249
admissibility	0.301980	0.080034	0.101845	0.297892	0.073074	0.117857	0.262312	-0.158970	0.117857
admissible	0.279980	0.028034	0.141845	0.305912	0.055365	0.051448	0.255462	-0.177164	0.051448
